city_name,year,cause,deaths_n,source
PATNA,2023,all_injury,467,ncrb_adsi_2023
PATNA,2023,road,200,ncrb_adsi_2023
PATNA,2023,suicide,44,ncrb_adsi_2023
PRAYAGRAJ,2023,all_injury,1007,ncrb_adsi_2023
PRAYAGRAJ,2023,road,582,ncrb_adsi_2023
PRAYAGRAJ,2023,suicide,140,ncrb_adsi_2023
PUNE,2023,all_injury,6007,ncrb_adsi_2023
PUNE,2023,road,393,ncrb_adsi_2023
PUNE,2023,suicide,953,ncrb_adsi_2023
RAIPUR,2023,all_injury,1438,ncrb_adsi_2023
RAIPUR,2023,road,158,ncrb_adsi_2023
RAIPUR,2023,suicide,364,ncrb_adsi_2023
RAJKOT,2023,all_injury,1342,ncrb_adsi_2023
RAJKOT,2023,road,178,ncrb_adsi_2023
RAJKOT,2023,suicide,537,ncrb_adsi_2023
RANCHI,2023,all_injury,736,ncrb_adsi_2023
RANCHI,2023,road,117,ncrb_adsi_2023
RANCHI,2023,suicide,199,ncrb_adsi_2023
SRINAGAR,2023,all_injury,160,ncrb_adsi_2023
SRINAGAR,2023,road,55,ncrb_adsi_2023
SRINAGAR,2023,suicide,9,ncrb_adsi_2023
SURAT,2023,all_injury,3245,ncrb_adsi_2023
SURAT,2023,road,309,ncrb_adsi_2023
SURAT,2023,suicide,1002,ncrb_adsi_2023
THIRUVANANTHAPURAM,2023,all_injury,947,ncrb_adsi_2023
THIRUVANANTHAPURAM,2023,road,137,ncrb_adsi_2023
THIRUVANANTHAPURAM,2023,suicide,410,ncrb_adsi_2023
THRISSUR,2023,all_injury,1407,ncrb_adsi_2023
THRISSUR,2023,road,231,ncrb_adsi_2023
THRISSUR,2023,suicide,501,ncrb_adsi_2023
TIRUCHIRAPPALLI,2023,all_injury,492,ncrb_adsi_2023
TIRUCHIRAPPALLI,2023,road,165,ncrb_adsi_2023
TIRUCHIRAPPALLI,2023,suicide,182,ncrb_adsi_2023
VADODARA,2023,all_injury,1221,ncrb_adsi_2023
VADODARA,2023,road,199,ncrb_adsi_2023
VADODARA,2023,suicide,237,ncrb_adsi_2023
VARANASI,2023,all_injury,581,ncrb_adsi_2023
VARANASI,2023,road,223,ncrb_adsi_2023
VARANASI,2023,suicide,197,ncrb_adsi_2023
VASAI VIRAR,2023,all_injury,1724,ncrb_adsi_2023
VASAI VIRAR,2023,road,154,ncrb_adsi_2023
VASAI VIRAR,2023,suicide,318,ncrb_adsi_2023
VIJAYAWADA,2023,all_injury,1326,ncrb_adsi_2023
VIJAYAWADA,2023,road,373,ncrb_adsi_2023
VIJAYAWADA,2023,suicide,577,ncrb_adsi_2023
VISHAKHAPATNAM,2023,all_injury,1407,ncrb_adsi_2023
VISHAKHAPATNAM,2023,road,322,ncrb_adsi_2023
VISHAKHAPATNAM,2023,suicide,449,ncrb_adsi_2023
