population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,4842,Arunachal Pradesh,3,Both,22,All ages,294,All causes,1,Number,2019,6262.61511269201,6528.852056473524,6039.4609226646935
1,All Population,1,Deaths,4842,Arunachal Pradesh,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4842,Arunachal Pradesh,3,Both,22,All ages,294,All causes,3,Rate,2019,374.9648981571313,390.90544483201506,361.6038681989988
1,All Population,1,Deaths,4863,Mizoram,3,Both,22,All ages,294,All causes,1,Number,2019,5516.772836883482,5738.924142838639,5285.670631225856
1,All Population,1,Deaths,4863,Mizoram,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4863,Mizoram,3,Both,22,All ages,294,All causes,3,Rate,2019,445.99259630606963,463.9519795624043,427.30959525440267
1,All Population,1,Deaths,4869,Sikkim,3,Both,22,All ages,294,All causes,1,Number,2019,2949.7208499267354,3071.8058894492283,2824.652000747218
1,All Population,1,Deaths,4869,Sikkim,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4869,Sikkim,3,Both,22,All ages,294,All causes,3,Rate,2019,431.17715621007,449.02300767713655,412.89514463564234
1,All Population,1,Deaths,4843,Assam,3,Both,22,All ages,294,All causes,1,Number,2019,210329.5533892218,219047.16643628562,201453.3162786761
1,All Population,1,Deaths,4843,Assam,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4843,Assam,3,Both,22,All ages,294,All causes,3,Rate,2019,581.9627097969541,606.0835507823492,557.4029704811279
1,All Population,1,Deaths,4870,Tamil Nadu,3,Both,22,All ages,294,All causes,1,Number,2019,570827.9241339568,590585.3320400495,548014.91681471
1,All Population,1,Deaths,4870,Tamil Nadu,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4870,Tamil Nadu,3,Both,22,All ages,294,All causes,3,Rate,2019,715.4798629314058,740.243941391615,686.8858739905337
1,All Population,1,Deaths,163,India,3,Both,22,All ages,294,All causes,1,Number,2019,9229415.350214735,9397999.133266238,9039667.607015457
1,All Population,1,Deaths,163,India,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,163,India,3,Both,22,All ages,294,All causes,3,Rate,2019,663.9911735613243,676.1195847016003,650.3401651380696
1,All Population,1,Deaths,4849,Delhi,3,Both,22,All ages,294,All causes,1,Number,2019,82989.3402606323,87200.83912001994,79653.50942040652
1,All Population,1,Deaths,4849,Delhi,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4849,Delhi,3,Both,22,All ages,294,All causes,3,Rate,2019,424.64654844277084,446.19628541854473,407.5775002006462
1,All Population,1,Deaths,44538,Other Union Territories,3,Both,22,All ages,294,All causes,1,Number,2019,20603.04386757051,21452.183431010235,19624.829914438546
1,All Population,1,Deaths,44538,Other Union Territories,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,44538,Other Union Territories,3,Both,22,All ages,294,All causes,3,Rate,2019,544.5850278566634,567.0297062149849,518.7286215731887
1,All Population,1,Deaths,4862,Meghalaya,3,Both,22,All ages,294,All causes,1,Number,2019,14338.38506952133,14949.522618109397,13777.261949057789
1,All Population,1,Deaths,4862,Meghalaya,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4862,Meghalaya,3,Both,22,All ages,294,All causes,3,Rate,2019,419.2159289954058,437.0839520630743,402.81019368523135
1,All Population,1,Deaths,4853,Himachal Pradesh,3,Both,22,All ages,294,All causes,1,Number,2019,45065.66359883257,46992.67038354223,43489.57667598362
1,All Population,1,Deaths,4853,Himachal Pradesh,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4853,Himachal Pradesh,3,Both,22,All ages,294,All causes,3,Rate,2019,589.7866625600644,615.0059272845706,569.1599820254913
1,All Population,1,Deaths,4864,Nagaland,3,Both,22,All ages,294,All causes,1,Number,2019,8434.407549460531,8757.579205810178,8061.134768573419
1,All Population,1,Deaths,4864,Nagaland,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4864,Nagaland,3,Both,22,All ages,294,All causes,3,Rate,2019,457.10656910120014,474.6210046081947,436.8768802689253
1,All Population,1,Deaths,4850,Goa,3,Both,22,All ages,294,All causes,1,Number,2019,12122.486101639473,12564.74693821845,11696.410836791072
1,All Population,1,Deaths,4850,Goa,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4850,Goa,3,Both,22,All ages,294,All causes,3,Rate,2019,813.1223346082672,842.7872202538173,784.54310497108
1,All Population,1,Deaths,4865,Odisha,3,Both,22,All ages,294,All causes,1,Number,2019,332231.1652521623,345653.7537326373,320079.2216948317
1,All Population,1,Deaths,4865,Odisha,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4865,Odisha,3,Both,22,All ages,294,All causes,3,Rate,2019,712.7936408075914,741.5914680818564,686.7219503791995
1,All Population,1,Deaths,4844,Bihar,3,Both,22,All ages,294,All causes,1,Number,2019,698207.4441158415,724222.8605469055,672191.0495375458
1,All Population,1,Deaths,4844,Bihar,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4844,Bihar,3,Both,22,All ages,294,All causes,3,Rate,2019,573.922781149837,595.3073141804099,552.5374440874754
1,All Population,1,Deaths,4841,Andhra Pradesh,3,Both,22,All ages,294,All causes,1,Number,2019,428856.13975198107,447122.40054335113,411514.40087565425
1,All Population,1,Deaths,4841,Andhra Pradesh,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4841,Andhra Pradesh,3,Both,22,All ages,294,All causes,3,Rate,2019,811.4141355777768,845.974681262956,778.6028248480577
1,All Population,1,Deaths,4871,Telangana,3,Both,22,All ages,294,All causes,1,Number,2019,445384.8063232906,465176.2659581556,427367.28456661996
1,All Population,1,Deaths,4871,Telangana,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4871,Telangana,3,Both,22,All ages,294,All causes,3,Rate,2019,1155.7331555854366,1207.0901973450545,1108.9793216422308
1,All Population,1,Deaths,4854,Jammu & Kashmir and Ladakh,3,Both,22,All ages,294,All causes,1,Number,2019,62563.03602589205,65400.30842879172,59517.349665136404
1,All Population,1,Deaths,4854,Jammu & Kashmir and Ladakh,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,4854,Jammu & Kashmir and Ladakh,3,Both,22,All ages,294,All causes,3,Rate,2019,451.02661145579896,471.4809474174889,429.0697870094879
1,All Population,1,Deaths,4867,Punjab,3,Both,22,All ages,294,All causes,1,Number,2019,217644.64472589723,227745.90091941404,210242.28816150542
1,All Population,1,Deaths,4867,Punjab,3,Both,22,All ages,294,All causes,2,Percent,2019,1.0,1.0,1.0
