dataset,raw_name,harmonized_name,action,timestamp
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975424
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975439
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975450
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975458
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975466
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975479
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975485
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975500
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975506
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975512
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975518
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975524
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975529
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975535
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975541
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975548
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975553
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975557
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975563
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975574
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975580
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975586
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975591
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975597
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975601
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975606
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975612
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975630
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975636
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975641
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975646
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975650
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975655
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975661
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975665
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975676
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975681
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975686
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975690
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975696
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.975701
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977497
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977524
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977536
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977543
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977553
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977558
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977565
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977572
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977578
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977584
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977596
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977600
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977606
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977613
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977620
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977625
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977629
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977634
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977646
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977651
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977656
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977664
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977669
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977673
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977679
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977683
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977688
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977693
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977700
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977704
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977711
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977715
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977720
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977725
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.977730
