source_id,source_name,url,file_path,filename,sha256,size_bytes,access_date,status,note
GBD2021_deaths_dalys,"GBD 2021 — Deaths & DALYs, India subnational",https://ghdx.healthdata.org/gbd-results,D:\Injury research\injury_india_public_health\data_raw\gbd,IHME-GBD_2023_DATA-47b91818-1.csv,0dee9c2531c594b1cef487a53314bf138b8cf633ebe0dc37d8c1485fdc7dffc0,418553,2026-04-23,PRESENT,GBD 2023 all-cause data downloaded (injury-specific re-download pending)
MoRTH2023,Road Accidents in India 2023 (MoRTH),https://road.transport.gov.in/publications/road-accidents-in-india,D:\Injury research\injury_india_public_health\data_raw\morth,Road-Accident-in-India-2023-Publications.pdf,901505420d5b387052ac51e36b4bdce0274f6326b614f9ebcee6e7954d45b5b0,8596105,2026-04-23,PRESENT,PDF downloaded; key tables extracted via tabula-py + hardcoded data
NCRB_ADSI_2023,Accidental Deaths & Suicides in India 2023 (NCRB),https://ncrb.gov.in/adsi.html,D:\Injury research\injury_india_public_health\data_raw\ncrb,1ADSIPublication-2023.pdf,b41d956d80b2e8e46ee70e7b81eb6e39d8e9a156d3455a1e7fe8d50508db2bdb,24332411,2026-04-23,PRESENT,PDF downloaded; all cause-specific state tables extracted
India_shapefile,India State Boundaries — GADM Level 1,https://gadm.org/download_country.html,D:\Injury research\injury_india_public_health\data_raw\shapefiles,NOT FOUND,,0,2026-04-23,OPTIONAL_MISSING,Shapefile optional — maps use placeholder; download from gadm.org for publication-quality choropleth
