state_name_harmonized,dalys_number,dalys_(disability-adjusted_life_years)_percent,dalys_rate,deaths_number,deaths_percent,deaths_rate,incidence_number,incidence_percent,incidence_rate,prevalence_number,prevalence_percent,prevalence_rate,ylds_number,ylds_(years_lived_with_disability)_percent,ylds_rate,ylls_number,ylls_(years_of_life_lost)_percent,ylls_rate
Andhra Pradesh,2465456.8995659337,0.1071247828696561,4655.018498257724,50075.20827775089,0.0927960027933828,94.54678395638486,4408953.755449344,0.0175970242589681,8324.52649778341,10132190.56182362,0.1956882887156931,19130.54513403388,411350.63678914605,0.0591634749740866,776.66935644289,2054106.262776786,0.1278205486038527,3878.349141814828
Arunachal Pradesh,60389.36887687434,0.11722134971554,3482.283456462685,917.0191304996426,0.1094325141487175,52.87885279790637,139730.3142428675,0.0163629605299856,8057.38776052356,265531.5277167262,0.156455404133178,15311.56995567324,10146.451327563844,0.054893939519125,585.0834386399699,50242.917549310485,0.1519382794832903,2897.200017822714
Assam,1360732.686652345,0.1057698641550493,3674.984755926819,23560.59681505118,0.0947120810763767,63.63103861998484,3005737.1717329454,0.0165173992675437,8117.71363677348,6261867.446115429,0.1730135401473833,16911.67386058981,259800.50022774588,0.0616374474967495,701.65351893473,1100932.1864245983,0.1272105976053674,2973.331236992089
Bihar,4123886.984292222,0.0938677587585084,3294.3677304812304,71534.19102939228,0.0866454890885315,57.145099138490565,9971329.129448088,0.0149768060637737,7965.59775745143,18409602.019952305,0.1496806612139067,14706.5133105101,742050.7370746123,0.0531101910956886,592.7873416293301,3381836.2472176086,0.1128439608079222,2701.580388851893
Chhattisgarh,1645771.4187351032,0.1007811580367493,5044.777399500762,31089.09877161408,0.0836179122007649,95.29730621669609,2479655.8810006343,0.0163925066260373,7600.8805382131795,4917638.537641125,0.1539530971389774,15074.02028689561,202006.3841631562,0.0533515825297396,619.20946601709,1443765.034571948,0.1150976335992957,4425.567933483663
Delhi,456728.3587921682,0.0676720913775025,2295.5637012376387,8306.834649177921,0.0576049353780154,41.75100522171225,1320687.7002917654,0.0131305914337344,6637.91220120044,3075805.995551736,0.1581982818907765,15459.31724955705,115773.20845298698,0.0461741885600686,581.88805180242,340955.15033918194,0.080363606334921,1713.6756494352087
Goa,68684.02375855023,0.1007937043667859,4633.729257896692,1315.2902531220102,0.0759544714995644,88.73532147654792,128407.1657990174,0.0202460822725854,8662.917641199321,339464.64351670985,0.2349510422120732,22901.792361706743,14120.34411077029,0.0705746103595206,952.62111998061,54563.67964777986,0.1133078575032119,3681.108137916072
Gujarat,3165202.05440304,0.1098532263430934,4474.392260694119,62661.1863205694,0.0961933321708859,88.5790929930209,5662637.512986752,0.0176957116770185,8004.81644701909,12274395.274086358,0.1766256494314369,17351.32805903301,503554.7070217127,0.0580475332874445,711.83489875466,2661647.3473813306,0.1320685823302781,3762.5573619394536
Haryana,1352668.5956647734,0.1125804200475795,4641.041562921079,25307.562546202145,0.0942170212959263,86.83091335866044,2627836.4628664395,0.0182795017749842,9016.17608615282,5614010.690243571,0.1973883237577347,19261.81847616482,235599.40952316727,0.0634369033575642,808.34777661066,1117069.1861416046,0.134495379128131,3832.6937863104176
Himachal Pradesh,243696.17342354785,0.0925361454912409,3161.622755074165,4452.455766962832,0.0725413460413672,57.76449121474253,658420.6045581157,0.0193512947339721,8542.10198107066,1580163.248269438,0.2090150161989699,20500.445338456928,67095.62553202592,0.0654510807143187,870.47348125282,176600.54789152186,0.1096963901489881,2291.149273821337
Jammu & Kashmir and Ladakh,378993.202423724,0.0914689830968002,2691.5234187662595,6148.615929227012,0.0780013843416309,43.66607015819618,1164009.775777409,0.0185145655929765,8266.53235768337,2617855.1953765964,0.1897031721820021,18591.41145602238,106499.4096749253,0.0614157818689921,756.3345553210299,272493.7927487987,0.1130962989724257,1935.1888634452228
Jharkhand,1545430.9580965394,0.1117589621508239,3958.602668018959,28136.5060734666,0.1060433813149989,72.07131928322528,2933268.098510553,0.0148927953339582,7513.530682134429,5916246.631578997,0.1540488043101621,15154.39403988166,233109.01646582183,0.050595309297062,597.10592031716,1312321.941630716,0.1421777336214754,3361.496747701789
Karnataka,3150010.7275216496,0.1109249650910036,4630.46433929898,56306.7501572329,0.0862724011569664,82.77000341202564,6432389.8485703645,0.0208832398314624,9455.50805590681,14348093.680611065,0.2142971468094231,21091.4634494793,609135.4542067391,0.0693728207155797,895.4191723423601,2540875.2733149114,0.1294620478820948,3735.045166956621
Kerala,943415.1261340368,0.0758375708653347,2677.697653816554,18827.32975765477,0.0569238512333846,53.43765996872539,2656278.614293921,0.0171553058910791,7539.32263363708,7181142.939805317,0.2084625250422832,20382.25704567096,294445.83653406263,0.060818860517643,835.72639850942,648969.2895999739,0.0853475480444093,1841.9712553071315
Madhya Pradesh,3994664.829502119,0.1101381346487304,4358.49434509762,67773.38755463355,0.0964792328957229,73.94611037787516,7123060.599521887,0.016417766195495,7771.8208330067,14382574.542060925,0.1596383383877535,15692.52302384788,581582.8971773802,0.0549663651973851,634.55280398807,3413081.932324741,0.1328059717254413,3723.94154110955
Maharashtra,3990334.4914333406,0.0910524804163339,3180.030289037334,71147.01165740879,0.0728281939985439,56.69942019416596,11481326.69707478,0.0198418495576859,9149.85115493812,25943719.101681866,0.2108958394291154,20675.412733129007,1077043.4830655633,0.0655878394215866,858.33177797796,2913291.0083677764,0.106237674952157,2321.698511059375
Manipur,136453.96557296437,0.0942867112954341,3787.524207510904,2376.9126291251896,0.0739010963264975,65.97546714123287,228907.94568303035,0.0133547262760986,6353.75001324142,542631.9778215815,0.1548070673806717,15061.7224141411,21087.85067664792,0.0488980066664698,585.33106448614,115366.1148963165,0.1135471958626966,3202.193143024755
Meghalaya,105683.08227277805,0.0801593392922357,3004.530869620868,1649.075743430433,0.0645098393383688,46.88261234367842,255536.3304071659,0.0148175907417497,7264.803188047531,498706.5406941026,0.1456865626909764,14178.042163170529,18907.728961081844,0.0495106172835516,537.53972836793,86775.35331169615,0.0926783500228856,2466.991141252938
Mizoram,29763.013040846454,0.0703952956678106,2359.951181872812,481.1202098315164,0.0521688734132162,38.14869839476744,90852.3908184436,0.0165042771262537,7203.81390129105,199407.4610270681,0.1632734706124494,15811.29815987548,7325.081281525083,0.0530130351943729,580.8160015226,22437.93175932138,0.0788399275950726,1779.1351803502075
Nagaland,58380.46775981457,0.0914915940704151,3220.9378118177465,960.7437285090704,0.071348768278506,53.00566989892607,151916.3253577566,0.0186284349088796,8381.451114614349,287152.6536547895,0.1636523244736406,15842.64181859054,11007.14216077631,0.0570646410155905,607.28051257755,47373.32559903832,0.1063871705666601,2613.657299240189
Odisha,1973309.9947253969,0.104250828812758,4167.605702078383,37824.03671507809,0.0948480648264215,79.88388621693356,3553153.950073481,0.0150023893684726,7504.2161151924,7855679.395850999,0.1687804429503669,16591.09533289735,323799.77433786413,0.0537755306067309,683.8610200471601,1649510.2203875354,0.1276785294127668,3483.744682031216
Other Union Territories,153883.906312941,0.0981481870719191,4015.3177631737153,2879.805759764345,0.0814614208888103,75.14323946362745,305918.43224543,0.0184917607319577,7982.379343680771,734317.0400201783,0.1950682662224308,19160.65380221118,30011.03741417389,0.0620204296379676,783.08287401636,123872.86889876716,0.1141786813484802,3232.234889157342
Punjab,1130314.9461306331,0.0876980497903093,3632.398180275023,21057.547820568565,0.0694779642194946,67.67087230539681,2372602.095716977,0.0168765318498948,7624.63202358029,5676555.90965549,0.1860412084555737,18242.27081756998,229931.10498789305,0.0573242063062961,738.91027470331,900383.8411427403,0.1013953902059782,2893.487905571708
Rajasthan,2797715.322857653,0.0973377934861961,3352.878351692684,44432.372809110624,0.0860508304709217,53.24928511805753,7355928.122418741,0.0183454830390641,8815.59748297524,13991634.425139824,0.1713818435251925,16768.05634425024,566939.0754750723,0.0580552942892204,679.43930440622,2230776.247382581,0.1174940403116272,2673.4390472864634
Sikkim,18454.21036103944,0.0836012986978371,2654.967050741732,282.98732227250235,0.0639551591403595,40.71276969928324,56475.07697140125,0.0188521841721327,8124.946319227281,129375.13590655688,0.1902460535895374,18612.91901940772,5051.149987050329,0.0625502117511546,726.69794705958,13403.060373989114,0.0957020616589719,1928.2691036821425
