state_name_harmonized,daly_rate,death_rate,Incidence,Prevalence,yld_rate,yll_rate,z_yld_rate,z_death_rate,hdbi_z,rank_yld,rank_death,hdbi_rank,hdbi_direction,cause_group,year
Andhra Pradesh,1165.4837243419615,0.2220390204591277,386.38956465861,988.85592211866,61.47037010226,8.59312347167046,0.20138174479284376,-1.9620938487531978,2.1634755935460417,17.0,29.0,-12.0,disability_prominent,road,2021
Other Union Territories,1107.7318863259684,0.0902377217646172,375.18965403936,940.93997347456,58.59742285289,1049.134463473077,0.07643512052057264,-1.9773660125703636,2.053801133090936,18.0,30.0,-12.0,disability_prominent,road,2021
Gujarat,1172.8839522945036,5.285948667527893,436.74964217631,1080.82106986343,68.64225777265,1104.2416945218488,0.5132925027337203,-1.3753252929697577,1.888617795703478,11.0,28.0,-17.0,disability_prominent,road,2021
Jharkhand,1049.848840493605,0.0470867731099135,321.78602483933,181.42849357786,46.5498517309,1003.2989887627024,-0.4475227567787204,-1.9823660267071603,1.53484326992844,22.0,31.0,-9.0,disability_prominent,road,2021
Tamil Nadu,113.9252320163586,22.74601234670036,608.12416909956,1642.0672472418,101.91840809423,1003.067576786951,1.9604971642080335,0.6478182982365416,1.3126788659714919,1.0,8.0,-7.0,disability_prominent,road,2021
Himachal Pradesh,799.4206742534544,15.275635143049314,16.82794564084,1130.51883677209,70.22197876009,274.21490470690014,0.5819957497968083,-0.21779399511888414,0.7997897449156925,9.0,19.0,-10.0,disability_prominent,road,2021
Jammu & Kashmir and Ladakh,888.4530439920854,17.274365219471914,522.0494991043,1203.20972185933,75.47120237508,812.9818416169973,0.8102884101953287,0.013804126111869285,0.7964842840834594,5.0,14.0,-9.0,disability_prominent,road,2021
Rajasthan,226.76690663374995,17.70239110479324,517.8045712268801,1143.9907460396,72.54891001907,904.130756463439,0.6831957303348891,0.0634006134254416,0.6197951169094476,6.0,13.0,-7.0,disability_prominent,road,2021
Maharashtra,693.8315717578214,14.134301937965768,395.20746182528006,1023.04248080337,62.69692081306,631.134650944758,0.25472535242323824,-0.35004328136004187,0.60476863378328,16.0,23.0,-7.0,disability_prominent,road,2021
Karnataka,7.930726346633591,18.6777202099599,457.41167798271,1149.02920242124,72.39156428592,898.5378749568019,0.6763526467366613,0.17641456713677356,0.49993807959988773,7.0,12.0,-5.0,balanced,road,2021
West Bengal,580.8872234391371,11.73681518282385,328.26623492949,861.8849640974801,53.65288831348,527.2343351256542,-0.13860638413371734,-0.6278463898019263,0.48924000566820897,21.0,26.0,-5.0,balanced,road,2021
Uttar Pradesh,205.84564539199275,19.24731136203828,484.19198949162,45.28173571426,70.2445747228,960.7523206414148,0.5829784651123839,0.24241459497801218,0.3405638701343717,8.0,10.0,-2.0,balanced,road,2021
Sikkim,600.2522875125314,10.68186364948839,301.92719744313,724.46449009612,44.83642512353,555.4158623889972,-0.5220409612379628,-0.7500864040950501,0.22804544285708728,25.0,27.0,-2.0,balanced,road,2021
Punjab,1351.854362487039,26.93936314651917,536.33382930233,1412.66703251533,87.61639421692,1264.237968270118,1.338491885601918,1.1337129061956877,0.20477897940623024,3.0,3.0,0.0,balanced,road,2021
Odisha,982.3152383266776,19.88056250207818,398.53555381748,311.02891267614,68.46709290351001,913.8481454231664,0.5056744515860929,0.31579107338822915,0.18988337819786377,12.0,9.0,3.0,balanced,road,2021
Madhya Pradesh,1042.8812943439,19.13408975688652,415.6169547516,969.4320634236,63.13404604399,979.747248299905,0.2737362555997297,0.22929530921491897,0.04444094638481072,14.0,11.0,3.0,balanced,road,2021
Assam,857.5516281335597,16.98708346618217,371.48732334169,859.20869386992,55.65529237238,801.8963357611748,-0.0515203342093709,-0.019483967718622455,-0.03203636649074844,20.0,15.0,5.0,balanced,road,2021
Haryana,1336.5792620585207,26.27376044240183,508.75434038148,1213.1330909245,76.18708100737,1260.3921810511483,0.8414225072494602,1.0565877667993804,-0.21516525954992016,4.0,5.0,-1.0,balanced,road,2021
Bihar,49.54595353944303,15.152172057304266,312.43787256434,187.25479441689,45.06077683275,738.8676934814952,-0.5122837376332132,-0.23209998822780992,-0.2801837494054033,24.0,21.0,3.0,balanced,road,2021
Nagaland,917.036408618584,16.619883401765986,318.13199550977,725.05492924532,45.09575040264,871.9406582159382,-0.5107627109253737,-0.06203240686895176,-0.44873030405642195,23.0,17.0,6.0,balanced,road,2021
Arunachal Pradesh,861.5471787345881,14.758296631370358,301.714093723,615.1737961568699,39.07453097286,822.4726477617206,-0.7726300466095205,-0.27773937181507563,-0.4948906747944449,26.0,22.0,4.0,balanced,road,2021
Manipur,1321.4583039007464,25.5458887895472,137.99552873782,1049.07340543064,66.2597584929,1255.198545407842,0.40967582741844694,0.9722473602148278,-0.562571532796381,13.0,6.0,7.0,mortality_prominent,road,2021
Chhattisgarh,1309.291406907411,25.506850925121235,418.33209549881,950.17778427578,63.11242720864,1246.1789796987691,0.27279603628373894,0.9677239399868718,-0.6949279037031328,15.0,7.0,8.0,mortality_prominent,road,2021
Meghalaya,862.3888491604765,15.21762399364461,267.15024975898,549.49112178859,35.26151630603,827.1273328544423,-0.9384609058519032,-0.22451589987783638,-0.7139450059740668,27.0,20.0,7.0,mortality_prominent,road,2021
