state_name_harmonized,daly_rate,death_rate,Incidence,Prevalence,yld_rate,yll_rate,z_yld_rate,z_death_rate,hdbi_z,rank_yld,rank_death,hdbi_rank,hdbi_direction,cause_group,year
Kerala,453.3524071762141,0.5368339481615392,1.97573373627,317.75480142628,15.04035696266,462.8558445775499,-0.02334165935578769,-1.7178315211646373,1.6944898618088495,16.0,31.0,-15.0,disability_prominent,self_harm,2021
West Bengal,956.7300213299828,18.16167226739437,175.94948611527,550.55252397661,29.17121987159,926.4630094916448,2.021734197494062,0.849682138808597,1.1720520586854648,1.0,7.0,-6.0,disability_prominent,self_harm,2021
Rajasthan,539.2058392151697,0.8250482251100095,74.09837114842,203.15632805923,11.23049703176,527.9753421834041,-0.5747200580337211,-1.6758456555549088,1.1011255975211878,23.0,30.0,-7.0,disability_prominent,self_harm,2021
Other Union Territories,32.19734537947563,14.346201732343507,2.57432788704,448.67862218552006,23.88128183479,772.1952979932688,1.2561528856511217,0.29386014824438034,0.9622927374067414,5.0,12.0,-7.0,disability_prominent,self_harm,2021
Himachal Pradesh,499.09517650621774,9.430592819320395,91.77309342283,333.66610239301,17.6921424743,447.8966272255634,0.3604355071449259,-0.4222254579140983,0.7826609650590242,9.0,20.0,-11.0,disability_prominent,self_harm,2021
Tamil Nadu,997.3141868980734,20.15449175924162,146.04046337272,513.76232790041,27.789322533670003,969.5248643643936,1.8217404037223228,1.1399878525123837,0.6817525512099392,2.0,5.0,-3.0,disability_prominent,self_harm,2021
Sikkim,486.9125576763437,9.062062268179996,94.36984244541,266.6842391262,14.74912729501,472.89311066692886,-0.06548959936113873,-0.47591146666107814,0.4104218672999394,18.0,21.0,-3.0,balanced,self_harm,2021
Jammu & Kashmir and Ladakh,240.0104076178092,4.322983449235095,67.60555456124,178.24460072501,9.74976821235,217.65130322457424,-0.7890171451000388,-1.1662808977413677,0.37726375264132883,24.0,28.0,-4.0,balanced,self_harm,2021
Goa,689.4474380450722,14.12301250369925,2.45254157674,411.99393684996,19.58929198095,710.3048193057797,0.6349986868947397,0.26134686313369104,0.37365182376104866,7.0,13.0,-6.0,balanced,self_harm,2021
Manipur,28.62254665743746,8.487831434656874,88.01376347559,262.10105529534,13.6454021785,488.3155042401349,-0.22522517976557044,-0.5595630430525379,0.33433786328696746,21.0,22.0,-1.0,balanced,self_harm,2021
Andhra Pradesh,959.9917772930818,21.532558001123228,153.17367055583,478.03735233182,26.53729803956,934.61117931274,1.64054233523983,1.3407388515452654,0.29980348369456467,3.0,4.0,-1.0,balanced,self_harm,2021
Nagaland,189.51766296403,3.1646379099041257,59.29029799741,153.36069145767,7.78702952906,181.73063343496943,-1.0730726568101572,-1.3350238922206943,0.2619512354105371,28.0,29.0,-1.0,balanced,self_harm,2021
Maharashtra,593.5454814137674,12.13858974345442,97.2150201401,321.15179367950003,16.20784968165,577.3376317321165,0.14562262740023077,-0.02773564938675118,0.17335827678698196,12.0,17.0,-5.0,balanced,self_harm,2021
Uttarakhand,637.5256000902989,10.978238757591075,95.37434384006,19.41526583022,14.86484426992,589.0001501753272,-0.04874256889730264,-0.19677078903489884,0.1480282201375962,17.0,18.0,-1.0,balanced,self_harm,2021
