state_name_harmonized,cause_group,dalys_n,deaths_n,Incidence,Prevalence,ylds_n,ylls_n,yll_fraction,yld_fraction,yld_yll_ratio
Andhra Pradesh,all_injuries,2465456.8995659337,50075.20827775089,4408953.755449344,10132190.56182362,411350.63678914605,2054106.262776786,0.8331543995510244,0.16684560044897484,0.2002577199842978
Andhra Pradesh,burns,42207.95728522637,689.5772893495001,35206.7483487331,388279.9260736348,12105.655665543343,30102.30161968305,0.7131902028866832,0.28680979711331744,0.4021505005991899
Andhra Pradesh,drowning,139421.47832620368,2579.229803315148,4865.713290685149,12913.77913655373,624.5693017891966,138796.9090244145,0.9955202791615229,0.004479720838477234,0.004499879040385074
Andhra Pradesh,falls,594839.1939625676,13286.5495402956,2255430.9588619494,5263350.452026016,245170.20515711204,349668.98880545533,0.5878378431591035,0.41216215684089613,0.7011494098880954
Andhra Pradesh,intentional_all,663712.3324251819,12902.577932744944,222577.24351322267,2314222.784247969,45417.52805371556,618294.804371466,0.9315704623300252,0.06842953766997441,0.07345610497226354
Andhra Pradesh,other_transport,42997.05003539404,866.8769211099893,12244.148792094373,59181.54711827622,3534.900197160994,39462.14983823304,0.9177873785701307,0.0822126214298692,0.08957697975532479
Andhra Pradesh,other_unintentional,14422.449639013776,401.97354210008257,18842.117903205533,68536.94591965442,2746.6767002136216,26804.52221908358,1.8585277043766129,0.1904445339704055,0.10247064572776136
Andhra Pradesh,poisoning,8090.469513284802,148.08597325326076,3690.2643301189855,5958.610984523736,527.8232737034674,7562.646239581331,0.9347598711253076,0.06524012887469204,0.06979346342302106
Andhra Pradesh,road,617280.015232197,117.59945425967868,204645.1197700732,523731.8942505979,32556.808988884102,4551.211893138843,0.007373010272213093,0.0527423668116608,7.1534373158861175
Andhra Pradesh,self_harm,508444.4566094935,11404.3786741218,81126.01121672464,253184.92053207825,14055.06005442723,495002.0244410368,0.9735616506508968,0.02764325556453475,0.02839394459103152
Andhra Pradesh,transport_all,660277.0652675916,13538.687609300549,216889.26856216745,582059.1666560103,36091.709186045104,624185.3560815462,0.9453385387974691,0.05466146120253042,0.05782210177537381
Andhra Pradesh,unintentional_all,1141467.5018731588,23633.942735705383,3969487.243373953,7784114.10203059,329841.3995493856,811626.1023237742,0.7110374154252208,0.2889625845747801,0.40639575120244853
Andhra Pradesh,violence,101309.7522847005,1485.1720250231126,134610.9943530905,2034275.3577406013,30290.99246668735,71018.75981801319,0.7010061540614213,0.29899384593857903,0.42652100014571565
Arunachal Pradesh,all_injuries,60389.36887687434,917.0191304996426,139730.3142428675,265531.5277167262,10146.451327563844,50242.917549310485,0.8319828222041684,0.16801717779583142,0.20194789280709455
Arunachal Pradesh,burns,983.6967400402476,11.102236273448618,1219.5729227490535,9750.027331190426,335.11762782775446,648.5791122124917,0.6593283130997825,0.34067168690021604,0.5166950669819922
Arunachal Pradesh,drowning,5534.137391512712,80.35924339216874,154.94029886430533,328.3481749261632,16.609190222791607,5517.528201289923,0.9969987752294944,0.003001224770506035,0.0030102592350880245
Arunachal Pradesh,falls,10958.109920259383,144.1811309220707,67901.53431202202,123242.39290504323,5588.535181708788,5369.5747385505865,0.490009205750282,0.5099907942497172,1.040777985933632
Arunachal Pradesh,intentional_all,18630.565603854167,294.63772942878546,12802.470455554372,72948.96036578824,1459.0269009155372,17171.538702938662,0.9216863872015957,0.07831361279840605,0.08496774378558433
Arunachal Pradesh,other_transport,1244.7878443915051,20.69429247746015,441.5164258484452,1585.5385386849075,95.24624646997316,1149.541597921531,0.9234839519849797,0.0765160480150196,0.0828558502295058
Arunachal Pradesh,other_unintentional,2225.704137192912,2.0441339559536984,29.4689789714262,6040.173355467898,162.30947854431173,126.76947604018788,0.056957020442111074,0.07292500194972842,1.2803514190818073
Arunachal Pradesh,poisoning,485.4459540477577,7.667134495366948,156.2589128218861,189.1843127075991,17.622025491071277,467.8239285566863,0.9636993050531476,0.03630069494685219,0.03766807214294942
Arunachal Pradesh,road,14940.854480089862,255.9367238218696,5232.291951241339,10668.274930508309,677.626130702272,14263.228349387617,0.9546460925909394,0.045353907409062484,0.047508608437259264
Arunachal Pradesh,self_harm,13567.518247569064,210.65550230099703,2070.6616329504395,4963.238587946348,277.4967248345949,12371.410738546816,0.9118403611333592,0.02045302020392085,0.02243048353167769
Arunachal Pradesh,transport_all,16185.642324481378,276.63101629932976,5673.8083770897865,12238.864310934812,772.8723771722454,15412.769947309134,0.9522495084422293,0.04775049155777077,0.05014493694607949
