state_name_harmonized,death_rate,yld_rate,z_yld,z_death,hdbi_z
Telangana,125.13721447501814,747.0616132025,0.20843594281813146,2.8678803128621384,-2.659444370044007
Chhattisgarh,95.29730621669609,619.20946601709,-0.8463582665981664,1.356112014027527,-2.2024702806256933
Uttarakhand,94.91332047207192,717.16691656802,-0.038198576792851886,1.3366582854536353,-1.3748568622464872
Jharkhand,72.07131928322528,597.10592031716,-1.0287149381528797,0.17942237908618608,-1.208137317239066
Gujarat,88.5790929930209,711.83489875466,-0.08218830741411853,1.015749648016193,-1.0979379554303115
Manipur,65.97546714123287,585.33106448614,-1.1258587876750952,-0.12940953630943425,-0.9964492513656609
Madhya Pradesh,73.94611037787516,634.55280398807,-0.7197740488029274,0.27440423088322313,-0.9941782796861505
Odisha,79.88388621693356,683.8610200471601,-0.3129758688681664,0.5752275846739009,-0.8882034535420673
Andhra Pradesh,94.54678395638486,776.66935644289,0.4527030655169657,1.3180885807486469,-0.8653855152316812
Tripura,63.8344979373902,632.30714965922,-0.7383009428330016,-0.2378766717688018,-0.5004242710641998
Bihar,57.145099138490565,592.7873416293301,-1.0643436850539836,-0.5767792231738798,-0.4875644618801038
Meghalaya,46.88261234367842,537.53972836793,-1.5201425420546888,-1.0967038177570079,-0.4234387242976809
Arunachal Pradesh,52.87885279790637,585.0834386399699,-1.1279017280119767,-0.7929184926676335,-0.33498323534434327
Haryana,86.83091335866044,808.34777661066,0.7140534995301175,0.9271822660720024,-0.21312876654188484
Nagaland,53.00566989892607,607.28051257755,-0.9447734382587273,-0.7864936045140908,-0.1582798337446365
Uttar Pradesh,67.12092922177456,700.65977511018,-0.17438430074862687,-0.07137741215244657,-0.1030068885961803
Assam,63.63103861998484,701.65351893473,-0.16618580541746597,-0.24818445634686506,0.08199865092939909
Other Union Territories,75.14323946362745,783.08287401636,0.5056152875438307,0.3350539415252942,0.17056134601853645
Punjab,67.67087230539681,738.91027470331,0.1411865079262093,-0.0435158479416515,0.1847023558678608
Delhi,41.75100522171225,581.88805180242,-1.1542640191998195,-1.3566845422922047,0.20242052309238523
Mizoram,38.14869839476744,580.8160015226,-1.163108551358653,-1.5391868883619806,0.3760783370033276
Rajasthan,53.24928511805753,679.43930440622,-0.34945550692215527,-0.774151416253714,0.4246959093315587
Karnataka,82.77000341202564,895.4191723423601,1.4324020454517057,0.721445878794991,0.7109561666567147
Goa,88.73532147654792,952.62111998061,1.9043243749895995,1.0236645942260327,0.8806597807635668
West Bengal,58.94550105441817,835.36096931151,0.9369152962693017,-0.4855661229827498,1.4224814192520516
Sikkim,40.71276969928324,726.69794705958,0.04043346806196326,-1.4092842867667683,1.4497177548287317
Jammu & Kashmir and Ladakh,43.66607015819618,756.3345553210299,0.28493873034420647,-1.2596623116565357,1.544601042000742
Kerala,53.43765996872539,835.72639850942,0.9399301271531993,-0.7646078504668468,1.704537977620046
Maharashtra,56.69942019416596,858.33177797796,1.1264269822313984,-0.5993584916372843,1.7257854738686826
Himachal Pradesh,57.76449121474253,870.47348125282,1.2265973633216793,-0.5453991901884928,1.771996553510172
Tamil Nadu,84.04953756133526,1042.15232575286,2.642966623005009,0.7862704468686247,1.856696176136384
