cause,district_name,state_name,rate_mean,rate_lo,rate_hi,completeness_mean,p_blindspot
road,Jashpur,Chhattisgarh,141.61811329002836,65.11562946001425,248.45056915772818,0.2816766428068607,0.999
road,Dindori,Madhya Pradesh,162.398941815674,80.18220377265948,282.3569557800278,0.2780371647853879,0.999
road,Anuppur,Madhya Pradesh,147.67855973784464,68.23005918265797,270.44470983270025,0.298430595624368,0.9985
road,Surajpur,Chhattisgarh,106.77439830252406,53.46306173089761,187.6723330880322,0.2951116581053689,0.9985
road,Umaria,Madhya Pradesh,105.03444671797801,56.62620094119497,179.4189100271358,0.28796611865330957,0.9985
all_injury,Kinnaur,Himachal Pradesh,286.9724818149481,107.61775340135394,581.8956757085598,0.3041432485371571,0.998
road,Koriya,Chhattisgarh,93.30391397050903,48.78472368199965,154.133844897841,0.30023059710129685,0.998
road,Perambalur,Tamil Nadu,90.73034824554273,51.78480120176795,147.88940078059878,0.28794676314126477,0.998
all_injury,Dindori,Madhya Pradesh,358.8664705732154,135.24521715321222,695.4880466533672,0.34357792180129376,0.997
road,Ariyalur,Tamil Nadu,96.01553705270132,50.800501220631084,159.4725110116214,0.2838087405671986,0.997
road,Thiruvarur,Tamil Nadu,121.40001431459476,56.22310361673752,225.22333502783388,0.2936165157792343,0.9965
road,Mandla,Madhya Pradesh,154.85613792818785,63.06050024209477,308.8373751258547,0.2854614241275966,0.996
road,Nagapattinam,Tamil Nadu,129.7237932418433,58.183560727484036,251.3613027318035,0.2962123222783946,0.9955
road,Gadchiroli,Maharashtra,118.92595620699777,52.214562896518615,231.64672494713665,0.283235253835861,0.9955
road,Kodagu,Karnataka,98.94505220230043,49.430594550437156,177.72343063796444,0.28699193949055457,0.995
road,Pudukkottai,Tamil Nadu,104.68299027082944,47.22214194913549,202.55112316073135,0.297277885511631,0.9945
road,Alirajpur,Madhya Pradesh,137.5675659897678,55.55334804879006,268.59450105804314,0.2821344441273444,0.994
suicide,South Sikkim,Sikkim,110.57094659797907,31.091063391373886,240.48136384591388,0.36829026754633754,0.9935
suicide,Jashpur,Chhattisgarh,156.54436387061097,25.85887880385754,462.4741948951224,0.1959904160986672,0.985
all_injury,Chamba,Himachal Pradesh,178.3597399864529,77.14001949896581,313.3423271768062,0.37717324902143706,0.98
suicide,West Sikkim,Sikkim,108.83713239086426,21.529958245197417,264.4296428205756,0.3691490256310111,0.977
all_injury,Jashpur,Chhattisgarh,298.45702205454245,125.93164339131421,574.1170587806087,0.38910856126578824,0.977
suicide,Surajpur,Chhattisgarh,120.2901058978373,21.51337783305148,359.3422047232407,0.2972866642337085,0.9755
suicide,North Sikkim,Sikkim,104.12227742808876,20.626546816206353,249.78870983734078,0.36860794731939156,0.973
all_injury,Alirajpur,Madhya Pradesh,308.69482050650953,110.7193024360145,655.3065708708323,0.3945718668374777,0.971
suicide,Rajnandgaon,Chhattisgarh,94.78382583787392,18.513980628518173,260.8634641818482,0.289050615355877,0.9675
suicide,Baloda Bazar,Chhattisgarh,94.1905786660527,18.23796397271667,275.0724375811386,0.29616303643175024,0.9665
suicide,Dindori,Madhya Pradesh,109.62565779135348,17.765150351496818,332.47091920094925,0.1619542752869038,0.966
suicide,Surguja,Chhattisgarh,116.65485559561779,18.29602447907341,320.3283611481721,0.21714527540043962,0.9655
all_injury,Nuapada,Odisha,156.61689692684007,61.465114430886224,321.73205777609553,0.35596227273425274,0.963
suicide,East Sikkim,Sikkim,96.05621196152049,17.80604544617632,246.95238615233532,0.36888392825493244,0.9625
suicide,Dhamtari,Chhattisgarh,85.64670849691139,17.0006506162262,247.7738759607901,0.28868483450599725,0.9625
suicide,Aurangabad,Bihar,80.88094057798013,56.216170651556844,115.29383636459262,0.3693112184449122,0.962
suicide,Gariaband,Chhattisgarh,104.10900480440469,18.046296155684658,335.99148461342173,0.29589636273606573,0.9615
all_injury,Dang,Gujarat,147.65016904266975,61.711832422210605,276.3829295570804,0.4177605946947638,0.961
suicide,Alirajpur,Madhya Pradesh,132.83384721974127,18.107403346272477,456.6241194386029,0.20003044965554062,0.9605
all_injury,Lahaul and Spiti,Himachal Pradesh,117.47605462954382,60.49635091956469,196.53162993626614,0.30381553444637316,0.959
suicide,Bametara,Chhattisgarh,83.88438577355925,16.92533106044926,239.67480635810443,0.2973954117827673,0.9565
all_injury,Kullu,Himachal Pradesh,126.31910398158007,60.43987610442396,217.37589263032493,0.4133113280919204,0.943
all_injury,Malkangiri,Odisha,192.11488357068382,50.394117206216976,462.3089783851262,0.38429430345139154,0.93
all_injury,Mahasamund,Chhattisgarh,164.52484306596273,66.20558525177589,327.65108375041905,0.41330177540204743,0.93
all_injury,Nabarangapur,Odisha,189.45361751693216,72.7229563656685,387.1402040111552,0.38792130764276145,0.9235
all_injury,Wayanad,Kerala,129.8559502997204,47.67620871761012,243.95158943422416,0.34708533632825084,0.922
all_injury,Uttar Bastar Kanker,Chhattisgarh,138.20193509230637,59.85582595547289,255.11388382472546,0.42158587560790206,0.9205
all_injury,Boudh,Odisha,115.46142547254593,53.24080542619722,215.96632716631447,0.3469931014815238,0.92
