variant,cause,cv_log_rmse,mean_completeness
base,road,0.8840053093482189,0.30151162015442556
no_icar,road,0.8514505791425684,0.2999516586136818
fix_eta,road,0.8973386621166866,0.3096527147085791
wide_eta,road,0.8787316674476672,0.3012666137299428
