model,elpd_loo,se,n_divergences,n_obs,pct_good_k,pct_bad_or_worse_k,rank,elpd_diff,dse
spatial (ICAR),-216.03,2.35,0,45,8.9,91.1,0,0.0,0.0
non-spatial (covariates only),-217.9,2.72,0,45,13.3,86.7,1,-2.0,1.1
