cause,n_cities,coverage95,log_rmse,log_mae,spearman
all_injury,45,0.9333333333333333,0.576214300283842,0.4096969056359724,0.7470601802530968
road,45,0.9555555555555556,0.48575873142584847,0.3838657454265138,0.6928651441348671
suicide,45,0.8666666666666667,0.964881901567453,0.6843889753524554,0.71925952804262
