state_name_harmonized,year,road_accidents_n,source,rank_2023
Andhra Pradesh,2020,19509,morth2023,
Andhra Pradesh,2021,21556,morth2023,
Andhra Pradesh,2022,21249,morth2023,
Andhra Pradesh,2023,19949,morth2023,9.0
Arunachal Pradesh,2020,134,morth2023,
Arunachal Pradesh,2021,283,morth2023,
Arunachal Pradesh,2022,227,morth2023,
Arunachal Pradesh,2023,287,morth2023,29.0
Assam,2020,6595,morth2023,
Assam,2021,7411,morth2023,
Assam,2022,7023,morth2023,
Assam,2023,7421,morth2023,16.0
Bihar,2020,8639,morth2023,
Bihar,2021,9553,morth2023,
Bihar,2022,10801,morth2023,
Bihar,2023,11014,morth2023,14.0
Chhattisgarh,2020,11656,morth2023,
Chhattisgarh,2021,12375,morth2023,
Chhattisgarh,2022,13279,morth2023,
Chhattisgarh,2023,13468,morth2023,12.0
Goa,2020,2375,morth2023,
Goa,2021,2849,morth2023,
Goa,2022,3011,morth2023,
Goa,2023,2846,morth2023,21.0
Gujarat,2020,13398,morth2023,
Gujarat,2021,15186,morth2023,
Gujarat,2022,15751,morth2023,
Gujarat,2023,16349,morth2023,10.0
Haryana,2020,9431,morth2023,
Haryana,2021,9933,morth2023,
Haryana,2022,10429,morth2023,
Haryana,2023,10463,morth2023,15.0
Himachal Pradesh,2020,2239,morth2023,
Himachal Pradesh,2021,2404,morth2023,
Himachal Pradesh,2022,2597,morth2023,
Himachal Pradesh,2023,2253,morth2023,22.0
Jharkhand,2020,4405,morth2023,
Jharkhand,2021,4728,morth2023,
Jharkhand,2022,5175,morth2023,
Jharkhand,2023,5315,morth2023,20.0
Karnataka,2020,34178,morth2023,
Karnataka,2021,34647,morth2023,
Karnataka,2022,39762,morth2023,
Karnataka,2023,43440,morth2023,5.0
Kerala,2020,27877,morth2023,
Kerala,2021,33296,morth2023,
Kerala,2022,43910,morth2023,
Kerala,2023,48091,morth2023,3.0
Madhya Pradesh,2020,45266,morth2023,
Madhya Pradesh,2021,48877,morth2023,
Madhya Pradesh,2022,54432,morth2023,
Madhya Pradesh,2023,55327,morth2023,2.0
Maharashtra,2020,24971,morth2023,
Maharashtra,2021,29477,morth2023,
Maharashtra,2022,33383,morth2023,
Maharashtra,2023,35243,morth2023,6.0
Manipur,2020,432,morth2023,
Manipur,2021,366,morth2023,
Manipur,2022,508,morth2023,
Manipur,2023,398,morth2023,26.0
Meghalaya,2020,214,morth2023,
Meghalaya,2021,245,morth2023,
Meghalaya,2022,246,morth2023,
Meghalaya,2023,223,morth2023,30.0
Mizoram,2020,53,morth2023,
Mizoram,2021,69,morth2023,
Mizoram,2022,133,morth2023,
Mizoram,2023,106,morth2023,35.0
Nagaland,2020,500,morth2023,
Nagaland,2021,746,morth2023,
Nagaland,2022,489,morth2023,
Nagaland,2023,303,morth2023,27.0
Odisha,2020,9817,morth2023,
Odisha,2021,10983,morth2023,
Odisha,2022,11663,morth2023,
Odisha,2023,11992,morth2023,13.0
Punjab,2020,5203,morth2023,
Punjab,2021,5871,morth2023,
Punjab,2022,6138,morth2023,
Punjab,2023,6269,morth2023,18.0
Rajasthan,2020,19114,morth2023,
Rajasthan,2021,20951,morth2023,
Rajasthan,2022,23614,morth2023,
Rajasthan,2023,24694,morth2023,7.0
Sikkim,2020,138,morth2023,
Sikkim,2021,155,morth2023,
Sikkim,2022,211,morth2023,
Sikkim,2023,182,morth2023,31.0
Tamil Nadu,2020,49844,morth2023,
Tamil Nadu,2021,55682,morth2023,
Tamil Nadu,2022,64105,morth2023,
Tamil Nadu,2023,67213,morth2023,1.0
Telangana,2020,19172,morth2023,
Telangana,2021,21315,morth2023,
Telangana,2022,21619,morth2023,
Telangana,2023,22903,morth2023,8.0
Tripura,2020,466,morth2023,
Tripura,2021,479,morth2023,
Tripura,2022,575,morth2023,
Tripura,2023,577,morth2023,25.0
Uttarakhand,2020,1041,morth2023,
Uttarakhand,2021,1405,morth2023,
Uttarakhand,2022,1674,morth2023,
Uttarakhand,2023,1691,morth2023,23.0
Uttar Pradesh,2020,34243,morth2023,
Uttar Pradesh,2021,37729,morth2023,
Uttar Pradesh,2022,41746,morth2023,
Uttar Pradesh,2023,44534,morth2023,4.0
West Bengal,2020,10863,morth2023,
West Bengal,2021,11937,morth2023,
West Bengal,2022,13686,morth2023,
West Bengal,2023,13795,morth2023,11.0
Andaman & Nicobar Islands,2020,141,morth2023,
Andaman & Nicobar Islands,2021,115,morth2023,
Andaman & Nicobar Islands,2022,141,morth2023,
Andaman & Nicobar Islands,2023,143,morth2023,34.0
Chandigarh,2020,159,morth2023,
Chandigarh,2021,208,morth2023,
Chandigarh,2022,237,morth2023,
Chandigarh,2023,182,morth2023,31.0
Dadra & Nagar Haveli and Daman & Diu,2020,100,morth2023,
Dadra & Nagar Haveli and Daman & Diu,2021,140,morth2023,
Dadra & Nagar Haveli and Daman & Diu,2022,196,morth2023,
Dadra & Nagar Haveli and Daman & Diu,2023,182,morth2023,31.0
Delhi,2020,4178,morth2023,
Delhi,2021,4720,morth2023,
Delhi,2022,5652,morth2023,
Delhi,2023,5834,morth2023,19.0
Jammu & Kashmir,2020,4860,morth2023,
Jammu & Kashmir,2021,5452,morth2023,
Jammu & Kashmir,2022,6092,morth2023,
Jammu & Kashmir,2023,6298,morth2023,17.0
Ladakh,2021,236,morth2023,
Ladakh,2022,374,morth2023,
Ladakh,2023,289,morth2023,28.0
Lakshadweep,2020,1,morth2023,
Lakshadweep,2021,1,morth2023,
Lakshadweep,2022,4,morth2023,
Lakshadweep,2023,1,morth2023,36.0
Puducherry,2020,969,morth2023,
Puducherry,2021,1049,morth2023,
Puducherry,2022,1181,morth2023,
Puducherry,2023,1308,morth2023,24.0
