state_name_harmonized,year,cause_ncrb,deaths_n,source,note
Himachal Pradesh,2023,fire_burns,55,ncrb_adsi_2023,police-reported accidental deaths
Jharkhand,2023,fire_burns,220,ncrb_adsi_2023,police-reported accidental deaths
Karnataka,2023,fire_burns,466,ncrb_adsi_2023,police-reported accidental deaths
Kerala,2023,fire_burns,240,ncrb_adsi_2023,police-reported accidental deaths
Madhya Pradesh,2023,fire_burns,597,ncrb_adsi_2023,police-reported accidental deaths
Maharashtra,2023,fire_burns,697,ncrb_adsi_2023,police-reported accidental deaths
Manipur,2023,fire_burns,0,ncrb_adsi_2023,police-reported accidental deaths
Meghalaya,2023,fire_burns,7,ncrb_adsi_2023,police-reported accidental deaths
Mizoram,2023,fire_burns,1,ncrb_adsi_2023,police-reported accidental deaths
Nagaland,2023,fire_burns,4,ncrb_adsi_2023,police-reported accidental deaths
Odisha,2023,fire_burns,1032,ncrb_adsi_2023,police-reported accidental deaths
Punjab,2023,fire_burns,103,ncrb_adsi_2023,police-reported accidental deaths
Rajasthan,2023,fire_burns,322,ncrb_adsi_2023,police-reported accidental deaths
Sikkim,2023,fire_burns,3,ncrb_adsi_2023,police-reported accidental deaths
Tamil Nadu,2023,fire_burns,616,ncrb_adsi_2023,police-reported accidental deaths
Telangana,2023,fire_burns,111,ncrb_adsi_2023,police-reported accidental deaths
Tripura,2023,fire_burns,20,ncrb_adsi_2023,police-reported accidental deaths
Uttarakhand,2023,fire_burns,23,ncrb_adsi_2023,police-reported accidental deaths
Uttar Pradesh,2023,fire_burns,374,ncrb_adsi_2023,police-reported accidental deaths
West Bengal,2023,fire_burns,364,ncrb_adsi_2023,police-reported accidental deaths
Andaman & Nicobar Islands,2023,fire_burns,1,ncrb_adsi_2023,police-reported accidental deaths
Chandigarh,2023,fire_burns,4,ncrb_adsi_2023,police-reported accidental deaths
Dadra & Nagar Haveli and Daman & Diu,2023,fire_burns,1,ncrb_adsi_2023,police-reported accidental deaths
Delhi,2023,fire_burns,54,ncrb_adsi_2023,police-reported accidental deaths
Jammu & Kashmir,2023,fire_burns,12,ncrb_adsi_2023,police-reported accidental deaths
Ladakh,2023,fire_burns,2,ncrb_adsi_2023,police-reported accidental deaths
