state_name_harmonized,gbd_road_dalys_n,gbd_road_deaths_n,morth_road_deaths_n,rank_gbd_road_dalys,rank_gbd_road_deaths,rank_morth_road_deaths,rank_mismatch_daly_vs_morth,notable_mismatch,rank_mismatch_gbd_death_vs_morth
Jharkhand,,2384.386282071453,,94.0,62.0,124.5,-30.5,True,-62.5
Karnataka,,12706.073239283136,12321.0,94.0,11.0,28.5,65.5,True,-17.5
Karnataka,,3049.549474290533,12321.0,94.0,53.0,28.5,65.5,True,24.5
Karnataka,,550.2679230090424,12321.0,94.0,105.0,28.5,65.5,True,76.5
Karnataka,,5759.142347734974,12321.0,94.0,27.0,28.5,65.5,True,-1.5
Karnataka,,3264.596831966456,12321.0,94.0,52.0,28.5,65.5,True,23.5
Karnataka,,82.51666228212945,12321.0,94.0,147.0,28.5,65.5,True,118.5
Kerala,,4731.947596958879,,94.0,34.0,124.5,-30.5,True,-90.5
Kerala,,1301.4207847722294,,94.0,79.0,124.5,-30.5,True,-45.5
Kerala,,398.2950980698799,,94.0,111.0,124.5,-30.5,True,-13.5
Kerala,,2153.658424993976,,94.0,63.0,124.5,-30.5,True,-61.5
Kerala,,855.7554925365241,,94.0,89.0,124.5,-30.5,True,-35.5
Kerala,,22.81779658627073,,94.0,168.0,124.5,-30.5,True,43.5
Madhya Pradesh,,17536.853175533815,13798.0,94.0,6.0,22.5,71.5,True,-16.5
Madhya Pradesh,,4664.48072538732,13798.0,94.0,35.0,22.5,71.5,True,12.5
Madhya Pradesh,,1376.1795823961618,13798.0,94.0,78.0,22.5,71.5,True,55.5
Madhya Pradesh,,6852.7253496786525,13798.0,94.0,24.0,22.5,71.5,True,1.5
Madhya Pradesh,,4517.617587523597,13798.0,94.0,38.0,22.5,71.5,True,15.5
Madhya Pradesh,,125.84993054808298,13798.0,94.0,130.0,22.5,71.5,True,107.5
Maharashtra,,17735.866456942338,15366.0,94.0,5.0,16.5,77.5,True,-11.5
Maharashtra,,4820.67971727419,15366.0,94.0,31.0,16.5,77.5,True,14.5
Maharashtra,,691.6796774456116,15366.0,94.0,99.0,16.5,77.5,True,82.5
Maharashtra,,8494.825988447934,15366.0,94.0,17.0,16.5,77.5,True,0.5
Maharashtra,,3586.1439541434465,15366.0,94.0,47.0,16.5,77.5,True,30.5
Maharashtra,,142.5371196311547,15366.0,94.0,129.0,16.5,77.5,True,112.5
Manipur,,920.3473399607616,,94.0,87.0,124.5,-30.5,True,-37.5
Manipur,,303.2353629638093,,94.0,114.0,124.5,-30.5,True,-10.5
Manipur,,43.66849386451412,,94.0,160.0,124.5,-30.5,True,35.5
Manipur,,326.33890922576,,94.0,113.0,124.5,-30.5,True,-11.5
Manipur,,240.05023966844587,,94.0,122.0,124.5,-30.5,True,-2.5
Manipur,,7.05433423823251,,94.0,176.0,124.5,-30.5,True,51.5
Meghalaya,,535.2733848660648,,94.0,106.0,124.5,-30.5,True,-18.5
Meghalaya,,182.52721966966675,,94.0,127.0,124.5,-30.5,True,2.5
Meghalaya,,34.4130134551081,,94.0,162.0,124.5,-30.5,True,37.5
Meghalaya,,73.38041788743404,,94.0,150.0,124.5,-30.5,True,25.5
Meghalaya,,242.01381744743404,,94.0,121.0,124.5,-30.5,True,-3.5
Meghalaya,,2.938916406421711,,94.0,180.0,124.5,-30.5,True,55.5
Mizoram,,209.9941140832329,,94.0,126.0,124.5,-30.5,True,1.5
Mizoram,,28.04030215623761,,94.0,163.0,124.5,-30.5,True,38.5
Mizoram,,7.753866614018323,,94.0,175.0,124.5,-30.5,True,50.5
Mizoram,,122.26172513183924,,94.0,133.0,124.5,-30.5,True,8.5
Mizoram,,50.40381830568945,,94.0,158.0,124.5,-30.5,True,33.5
Mizoram,,1.534401875448133,,94.0,183.0,124.5,-30.5,True,58.5
Nagaland,,301.2403914005092,,94.0,115.0,124.5,-30.5,True,-9.5
Nagaland,,59.28467729301519,,94.0,153.0,124.5,-30.5,True,28.5
Nagaland,,16.061408755652028,,94.0,171.0,124.5,-30.5,True,46.5
Nagaland,,123.56699465897827,,94.0,132.0,124.5,-30.5,True,7.5
Nagaland,,100.23181244677473,,94.0,138.0,124.5,-30.5,True,13.5
Nagaland,,2.095498246088878,,94.0,182.0,124.5,-30.5,True,57.5
